Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,0,0,0,0,8.674025985443025,0.0,4.852030263919617,360.0,1.0,2,1
LP001003,1,1,1,0,0,8.430109084509125,7.318539548567902,4.852030263919617,360.0,1.0,0,0
LP001005,1,1,0,0,1,8.006367567650246,0.0,4.189654742026425,360.0,1.0,2,1
LP001006,1,1,0,1,0,7.8567067930958405,7.765569081097317,4.787491742782046,360.0,1.0,2,1
LP001008,1,0,0,0,0,8.699514748210191,0.0,4.948759890378168,360.0,1.0,2,1
LP001011,1,1,2,0,1,8.597297435657898,8.341886969516187,5.58724865840025,360.0,1.0,2,1
LP001013,1,1,0,1,0,7.75491027202143,7.323830566202317,4.553876891600541,360.0,1.0,2,1
LP001014,1,1,3,0,0,8.01829613851552,7.825644732219989,5.062595033026967,360.0,0.0,1,0
LP001018,1,1,2,0,0,8.295548516225763,7.330405211844402,5.123963979403259,360.0,1.0,2,1
LP001020,1,1,1,0,0,9.460398455831275,9.30273722124215,5.855071922202427,360.0,1.0,1,0
LP001024,1,1,2,0,0,8.070906088787819,6.551080335043404,4.248495242049359,360.0,1.0,2,1
LP001027,1,1,2,0,0,7.824046010856292,7.517520850603031,4.6913478822291435,360.0,1.0,2,1
LP001028,1,1,2,0,0,8.030409562130485,9.000359807188254,5.298317366548036,360.0,1.0,2,1
LP001029,1,0,0,0,0,7.52456122628536,7.951559331155252,4.736198448394496,360.0,1.0,0,0
LP001030,1,1,2,0,0,7.1693500166706,6.990256500493881,2.833213344056216,120.0,1.0,2,1
LP001032,1,0,0,0,0,8.507142855562735,0.0,4.8283137373023015,360.0,1.0,2,1
LP001034,1,0,1,1,0,8.18757739559151,0.0,4.605170185988092,240.0,1.0,2,1
LP001036,0,0,0,0,0,8.163371316459912,0.0,4.330733340286331,360.0,0.0,2,0
LP001038,1,1,0,1,0,8.494333897270154,0.0,4.890349128221754,360.0,1.0,0,0
LP001041,1,1,0,0,0,7.8632667240095735,8.160518247477505,4.74493212836325,360.0,1.0,2,1
LP001043,1,1,0,1,0,8.943767262734637,0.0,4.6443908991413725,360.0,0.0,2,0
LP001046,1,1,1,0,0,8.691986481789401,8.63497622707262,5.752572638825633,360.0,1.0,2,1
LP001047,1,1,0,1,0,7.8632667240095735,7.555381944240273,4.7535901911063645,360.0,0.0,1,0
LP001050,1,1,2,1,0,8.121183242078828,7.558516743045645,4.718498871295094,360.0,0.0,0,0
LP001052,1,1,1,0,0,8.220672170297252,7.981049759665957,5.017279836814924,360.0,1.0,1,0
LP001066,1,1,0,0,1,9.165343006045447,0.0,5.25227342804663,360.0,1.0,1,1
LP001068,1,1,0,0,0,7.937017489515454,7.720017940432244,4.804021044733257,360.0,1.0,1,1
LP001073,1,1,2,1,0,8.349011198176003,6.946975992135418,4.700480365792417,360.0,1.0,2,1
LP001086,1,0,0,1,0,7.273786317844895,0.0,3.5553480614894135,360.0,1.0,2,0
LP001087,0,0,2,0,0,8.229511118964457,7.641564441260972,4.787491742782046,360.0,1.0,1,1
LP001091,1,1,1,0,0,8.334711621820917,8.122371243406553,5.303304908059076,360.0,1.0,2,0
